"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9309","Авторизация с заблокированным пользователем","","Tue May 06 18:20:43 GMT 2025","passed","Tue May 06 18:20:52 GMT 2025","","tests.ui.saucedemo.AuthorizationTest","tests.ui.saucedemo.AuthorizationTest","inCorrectAuthorization"
"","1337","Проверяем, что в ответе приходит JSON-файл","","Tue May 06 18:21:18 GMT 2025","passed","Tue May 06 18:21:20 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkCorrectJson"
"","800","Авторизация с не заблокированным пользователем","","Tue May 06 18:20:52 GMT 2025","passed","Tue May 06 18:20:53 GMT 2025","","tests.ui.saucedemo.AuthorizationTest","tests.ui.saucedemo.AuthorizationTest","correctAuthorization"
"","1065","Статус 400. Сломанный JSON","","Tue May 06 18:21:35 GMT 2025","passed","Tue May 06 18:21:36 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","brokenJson"
"","1677","Валидация ответа запроса на получение сотрудника по id","","Tue May 06 18:21:43 GMT 2025","passed","Tue May 06 18:21:45 GMT 2025","","tests.api.xclients.business.BusinessGetTest","tests.api.xclients.business.BusinessGetTest","checkValidateResponseGetEmployeeId"
"Добавляем три товара в корзину и сравниваем их сумму + налог с итоговой суммой корзиныпод разными пользователями","1771","Проверка итоговой суммы корзины [1] Авторизоваться как standard_user","","Tue May 06 18:20:53 GMT 2025","passed","Tue May 06 18:20:55 GMT 2025","","tests.ui.saucedemo.ShoppingCartTest","tests.ui.saucedemo.ShoppingCartTest","compareTotalSumAndSumProductsWithTax"
"","912","Проверяем формат JSON-файла","","Tue May 06 18:21:33 GMT 2025","passed","Tue May 06 18:21:34 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","checkFormatJson"
"","1330","Статус 400. Передан пустой lastName","","Tue May 06 18:21:17 GMT 2025","passed","Tue May 06 18:21:18 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkNullLastName"
"","1142","Статус 401. Передача неверного токена","","Tue May 06 18:21:34 GMT 2025","passed","Tue May 06 18:21:35 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","nonexistentUserToken"
"","1203","Статус 401. Неверный токен","","Tue May 06 18:21:24 GMT 2025","passed","Tue May 06 18:21:25 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkNonexistentUserToken"
"","1357","Статус 500. Передан несуществующий id Employee","","Tue May 06 18:21:21 GMT 2025","passed","Tue May 06 18:21:22 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkErrorStatusNonexistentIdEmployee"
"","917","Проверяем, что в ответе приходит JSON-файл","","Tue May 06 18:21:32 GMT 2025","passed","Tue May 06 18:21:33 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","correctJson"
"","1433","Статус 200. Несуществующий id","","Tue May 06 18:21:09 GMT 2025","passed","Tue May 06 18:21:11 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkNonexistentCompanyId"
"Добавляем три товара в корзину и сравниваем их сумму + налог с итоговой суммой корзиныпод разными пользователями","6320","Проверка итоговой суммы корзины [2] Авторизоваться как performance_glitch_user","","Tue May 06 18:20:55 GMT 2025","passed","Tue May 06 18:21:01 GMT 2025","","tests.ui.saucedemo.ShoppingCartTest","tests.ui.saucedemo.ShoppingCartTest","compareTotalSumAndSumProductsWithTax"
"","1105","Статус 500. Передача несуществующего id компании","","Tue May 06 18:21:28 GMT 2025","passed","Tue May 06 18:21:30 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","nonexistentCompanyId"
"","0","Запрос по компании. Проверяем, что в ответе приходит JSON-файл","","Tue May 06 18:21:12 GMT 2025","skipped","Tue May 06 18:21:12 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkGetJsonCompanyId"
"","1558","Статус 200. Изменение данных сотрудника","","Tue May 06 18:21:22 GMT 2025","passed","Tue May 06 18:21:24 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkChangeEmployeeStatusOk"
"","1325","Валидация измененных полей","","Tue May 06 18:21:39 GMT 2025","passed","Tue May 06 18:21:41 GMT 2025","","tests.api.xclients.business.BusinessPathTest","tests.api.xclients.business.BusinessPathTest","checkChangeEmployee"
"","1119","Статус 200. Получить список сотрудников для компании","","Tue May 06 18:21:12 GMT 2025","passed","Tue May 06 18:21:13 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkGetListEmployeeCompanyIdStatusOk"
"","0","Валидация ответа запроса на получение cписка сотрудников по id компании","","Tue May 06 18:21:45 GMT 2025","skipped","Tue May 06 18:21:45 GMT 2025","","tests.api.xclients.business.BusinessGetTest","tests.api.xclients.business.BusinessGetTest","checkValidateResponseGetCompanyId"
"","1409","Статус 200. Несуществующий id","","Tue May 06 18:21:13 GMT 2025","passed","Tue May 06 18:21:14 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkNonexistentEmployeeId"
"","1432","Статус 400. Неверный e-mail","","Tue May 06 18:21:30 GMT 2025","passed","Tue May 06 18:21:32 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","nonexistentEmail"
"","927","Проверяем, что возвращенный id > 0","","Tue May 06 18:21:49 GMT 2025","passed","Tue May 06 18:21:49 GMT 2025","","tests.api.xclients.business.BusinessPostTest","tests.api.xclients.business.BusinessPostTest","addEmployeeCheckId"
"","928","Проверяем поля JSON-файла","","Tue May 06 18:21:30 GMT 2025","passed","Tue May 06 18:21:30 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","checkFiledJsonFile"
"","4894","Запрос по сотруднику. Проверяем, что в ответе приходит JSON-файл","","Tue May 06 18:21:04 GMT 2025","passed","Tue May 06 18:21:09 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkGetJsonEmployeeId"
"","944","Статус 201. Сотрудник добавлен","","Tue May 06 18:21:27 GMT 2025","passed","Tue May 06 18:21:28 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","addEmployeeStatusOk"
"","1115","Статус 200. Получение сотрудника по id","","Tue May 06 18:21:11 GMT 2025","passed","Tue May 06 18:21:12 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkGetEmployeeId"
"","1177","Статус 400. Передан некорректный email","","Tue May 06 18:21:20 GMT 2025","passed","Tue May 06 18:21:21 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkNonexistentEmailErrorStatus"
