"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2623","Валидация измененных полей","","Tue May 06 19:57:00 GMT 2025","passed","Tue May 06 19:57:03 GMT 2025","","tests.api.xclients.business.BusinessPathTest","tests.api.xclients.business.BusinessPathTest","checkChangeEmployee"
"","1134","Статус 200. Несуществующий id","","Tue May 06 19:56:57 GMT 2025","passed","Tue May 06 19:56:58 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkNonexistentEmployeeId"
"","1012","Запрос по сотруднику. Проверяем, что в ответе приходит JSON-файл","","Tue May 06 19:56:52 GMT 2025","passed","Tue May 06 19:56:53 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkGetJsonEmployeeId"
"","1137","Статус 400. Неверный e-mail","","Tue May 06 19:56:44 GMT 2025","passed","Tue May 06 19:56:46 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","nonexistentEmail"
"","981","Статус 400. Передан некорректный email","","Tue May 06 19:56:35 GMT 2025","passed","Tue May 06 19:56:36 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkNonexistentEmailErrorStatus"
"","820","Статус 201. Сотрудник добавлен","","Tue May 06 19:56:42 GMT 2025","passed","Tue May 06 19:56:42 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","addEmployeeStatusOk"
"","978","Статус 200. Изменение данных сотрудника","","Tue May 06 19:56:37 GMT 2025","passed","Tue May 06 19:56:38 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkChangeEmployeeStatusOk"
"","814","Проверяем формат JSON-файла","","Tue May 06 19:56:46 GMT 2025","passed","Tue May 06 19:56:47 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","checkFormatJson"
"","891","Проверяем поля JSON-файла","","Tue May 06 19:56:43 GMT 2025","passed","Tue May 06 19:56:44 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","checkFiledJsonFile"
"","1239","Статус 200. Несуществующий id","","Tue May 06 19:56:53 GMT 2025","passed","Tue May 06 19:56:54 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkNonexistentCompanyId"
"","1223","Статус 200. Получить список сотрудников для компании","","Tue May 06 19:56:55 GMT 2025","passed","Tue May 06 19:56:57 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkGetListEmployeeCompanyIdStatusOk"
"","971","Статус 401. Неверный токен","","Tue May 06 19:56:38 GMT 2025","passed","Tue May 06 19:56:39 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkNonexistentUserToken"
"","995","Статус 500. Передача несуществующего id компании","","Tue May 06 19:56:42 GMT 2025","passed","Tue May 06 19:56:43 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","nonexistentCompanyId"
"","4813","Статус 400. Передан пустой lastName","","Tue May 06 19:56:29 GMT 2025","passed","Tue May 06 19:56:34 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkNullLastName"
"","901","Проверяем, что возвращенный id > 0","","Tue May 06 19:57:06 GMT 2025","passed","Tue May 06 19:57:07 GMT 2025","","tests.api.xclients.business.BusinessPostTest","tests.api.xclients.business.BusinessPostTest","addEmployeeCheckId"
"","789","Проверяем, что в ответе приходит JSON-файл","","Tue May 06 19:56:46 GMT 2025","passed","Tue May 06 19:56:46 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","correctJson"
"Добавляем три товара в корзину и сравниваем их сумму + налог с итоговой суммой корзиныпод разными пользователями","6403","Проверка итоговой суммы корзины [2] Авторизоваться как performance_glitch_user","","Tue May 06 19:56:19 GMT 2025","passed","Tue May 06 19:56:25 GMT 2025","","tests.ui.saucedemo.ShoppingCartTest","tests.ui.saucedemo.ShoppingCartTest","compareTotalSumAndSumProductsWithTax"
"","1143","Статус 200. Получение сотрудника по id","","Tue May 06 19:56:54 GMT 2025","passed","Tue May 06 19:56:55 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkGetEmployeeId"
"","1067","Валидация ответа запроса на получение сотрудника по id","","Tue May 06 19:57:09 GMT 2025","passed","Tue May 06 19:57:10 GMT 2025","","tests.api.xclients.business.BusinessGetTest","tests.api.xclients.business.BusinessGetTest","checkValidateResponseGetEmployeeId"
"","1114","Статус 400. Сломанный JSON","","Tue May 06 19:56:48 GMT 2025","passed","Tue May 06 19:56:49 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","brokenJson"
"","0","Запрос по компании. Проверяем, что в ответе приходит JSON-файл","","Tue May 06 19:56:55 GMT 2025","skipped","Tue May 06 19:56:55 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkGetJsonCompanyId"
"","951","Статус 401. Передача неверного токена","","Tue May 06 19:56:47 GMT 2025","passed","Tue May 06 19:56:48 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","nonexistentUserToken"
"","1193","Статус 500. Передан несуществующий id Employee","","Tue May 06 19:56:36 GMT 2025","passed","Tue May 06 19:56:37 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkErrorStatusNonexistentIdEmployee"
"","393","Авторизация с не заблокированным пользователем","","Tue May 06 19:56:25 GMT 2025","passed","Tue May 06 19:56:26 GMT 2025","","tests.ui.saucedemo.AuthorizationTest","tests.ui.saucedemo.AuthorizationTest","correctAuthorization"
"","0","Валидация ответа запроса на получение cписка сотрудников по id компании","","Tue May 06 19:57:10 GMT 2025","skipped","Tue May 06 19:57:10 GMT 2025","","tests.api.xclients.business.BusinessGetTest","tests.api.xclients.business.BusinessGetTest","checkValidateResponseGetCompanyId"
"","1084","Проверяем, что в ответе приходит JSON-файл","","Tue May 06 19:56:34 GMT 2025","passed","Tue May 06 19:56:35 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkCorrectJson"
"Добавляем три товара в корзину и сравниваем их сумму + налог с итоговой суммой корзиныпод разными пользователями","5930","Проверка итоговой суммы корзины [1] Авторизоваться как standard_user","","Tue May 06 19:56:13 GMT 2025","passed","Tue May 06 19:56:18 GMT 2025","","tests.ui.saucedemo.ShoppingCartTest","tests.ui.saucedemo.ShoppingCartTest","compareTotalSumAndSumProductsWithTax"
"","460","Авторизация с заблокированным пользователем","","Tue May 06 19:56:25 GMT 2025","passed","Tue May 06 19:56:25 GMT 2025","","tests.ui.saucedemo.AuthorizationTest","tests.ui.saucedemo.AuthorizationTest","inCorrectAuthorization"
