"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1841","Статус 400. Неверный e-mail","","Tue May 06 18:17:26 GMT 2025","passed","Tue May 06 18:17:28 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","nonexistentEmail"
"","1354","Статус 201. Сотрудник добавлен","","Tue May 06 18:17:22 GMT 2025","passed","Tue May 06 18:17:23 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","addEmployeeStatusOk"
"","510","Авторизация с не заблокированным пользователем","","Tue May 06 18:16:35 GMT 2025","passed","Tue May 06 18:16:36 GMT 2025","","tests.ui.saucedemo.AuthorizationTest","tests.ui.saucedemo.AuthorizationTest","correctAuthorization"
"Добавляем три товара в корзину и сравниваем их сумму + налог с итоговой суммой корзиныпод разными пользователями","1718","Проверка итоговой суммы корзины [1] Авторизоваться как standard_user","","Tue May 06 18:16:36 GMT 2025","passed","Tue May 06 18:16:37 GMT 2025","","tests.ui.saucedemo.ShoppingCartTest","tests.ui.saucedemo.ShoppingCartTest","compareTotalSumAndSumProductsWithTax"
"","1428","Статус 400. Сломанный JSON","","Tue May 06 18:17:32 GMT 2025","passed","Tue May 06 18:17:33 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","brokenJson"
"","0","Запрос по компании. Проверяем, что в ответе приходит JSON-файл","","Tue May 06 18:17:00 GMT 2025","skipped","Tue May 06 18:17:00 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkGetJsonCompanyId"
"","1255","Проверяем, что возвращенный id > 0","","Tue May 06 18:17:51 GMT 2025","passed","Tue May 06 18:17:52 GMT 2025","","tests.api.xclients.business.BusinessPostTest","tests.api.xclients.business.BusinessPostTest","addEmployeeCheckId"
"","2139","Статус 401. Неверный токен","","Tue May 06 18:17:15 GMT 2025","passed","Tue May 06 18:17:17 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkNonexistentUserToken"
"","1777","Статус 200. Изменение данных сотрудника","","Tue May 06 18:17:13 GMT 2025","passed","Tue May 06 18:17:15 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkChangeEmployeeStatusOk"
"","1445","Статус 401. Передача неверного токена","","Tue May 06 18:17:30 GMT 2025","passed","Tue May 06 18:17:32 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","nonexistentUserToken"
"","0","Валидация ответа запроса на получение cписка сотрудников по id компании","","Tue May 06 18:17:46 GMT 2025","skipped","Tue May 06 18:17:46 GMT 2025","","tests.api.xclients.business.BusinessGetTest","tests.api.xclients.business.BusinessGetTest","checkValidateResponseGetCompanyId"
"","1243","Проверяем формат JSON-файла","","Tue May 06 18:17:29 GMT 2025","passed","Tue May 06 18:17:30 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","checkFormatJson"
"","1526","Статус 200. Несуществующий id","","Tue May 06 18:16:54 GMT 2025","passed","Tue May 06 18:16:55 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkNonexistentCompanyId"
"","1492","Статус 200. Несуществующий id","","Tue May 06 18:17:02 GMT 2025","passed","Tue May 06 18:17:03 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkNonexistentEmployeeId"
"","1794","Проверяем, что в ответе приходит JSON-файл","","Tue May 06 18:17:09 GMT 2025","passed","Tue May 06 18:17:10 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkCorrectJson"
"","1497","Валидация измененных полей","","Tue May 06 18:17:38 GMT 2025","passed","Tue May 06 18:17:40 GMT 2025","","tests.api.xclients.business.BusinessPathTest","tests.api.xclients.business.BusinessPathTest","checkChangeEmployee"
"","1555","Статус 400. Передан пустой lastName","","Tue May 06 18:17:07 GMT 2025","passed","Tue May 06 18:17:09 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkNullLastName"
"","4526","Запрос по сотруднику. Проверяем, что в ответе приходит JSON-файл","","Tue May 06 18:16:49 GMT 2025","passed","Tue May 06 18:16:54 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkGetJsonEmployeeId"
"","1519","Статус 400. Передан некорректный email","","Tue May 06 18:17:10 GMT 2025","passed","Tue May 06 18:17:12 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkNonexistentEmailErrorStatus"
"","1551","Проверяем, что в ответе приходит JSON-файл","","Tue May 06 18:17:28 GMT 2025","passed","Tue May 06 18:17:29 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","correctJson"
"","1523","Валидация ответа запроса на получение сотрудника по id","","Tue May 06 18:17:45 GMT 2025","passed","Tue May 06 18:17:46 GMT 2025","","tests.api.xclients.business.BusinessGetTest","tests.api.xclients.business.BusinessGetTest","checkValidateResponseGetEmployeeId"
"","2926","Авторизация с заблокированным пользователем","","Tue May 06 18:16:32 GMT 2025","passed","Tue May 06 18:16:35 GMT 2025","","tests.ui.saucedemo.AuthorizationTest","tests.ui.saucedemo.AuthorizationTest","inCorrectAuthorization"
