"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1154","Валидация ответа запроса на получение сотрудника по id","","Tue May 06 18:02:21 GMT 2025","passed","Tue May 06 18:02:22 GMT 2025","","tests.api.xclients.business.BusinessGetTest","tests.api.xclients.business.BusinessGetTest","checkValidateResponseGetEmployeeId"
"","1097","Статус 400. Передан пустой lastName","","Tue May 06 18:01:55 GMT 2025","passed","Tue May 06 18:01:56 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkNullLastName"
"","954","Проверяем поля JSON-файла","","Tue May 06 18:02:07 GMT 2025","passed","Tue May 06 18:02:08 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","checkFiledJsonFile"
"","980","Проверяем, что в ответе приходит JSON-файл","","Tue May 06 18:02:09 GMT 2025","passed","Tue May 06 18:02:10 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","correctJson"
"","4431","Запрос по сотруднику. Проверяем, что в ответе приходит JSON-файл","","Tue May 06 18:01:41 GMT 2025","passed","Tue May 06 18:01:46 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkGetJsonEmployeeId"
"","1767","Статус 200. Несуществующий id","","Tue May 06 18:01:49 GMT 2025","passed","Tue May 06 18:01:51 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkNonexistentEmployeeId"
"","1094","Статус 401. Неверный токен","","Tue May 06 18:02:01 GMT 2025","passed","Tue May 06 18:02:02 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkNonexistentUserToken"
"Добавляем три товара в корзину и сравниваем их сумму + налог с итоговой суммой корзиныпод разными пользователями","1665","Проверка итоговой суммы корзины [1] Авторизоваться как standard_user","","Tue May 06 18:01:30 GMT 2025","passed","Tue May 06 18:01:32 GMT 2025","","tests.ui.saucedemo.ShoppingCartTest","tests.ui.saucedemo.ShoppingCartTest","compareTotalSumAndSumProductsWithTax"
"","1326","Статус 200. Получить список сотрудников для компании","","Tue May 06 18:01:48 GMT 2025","passed","Tue May 06 18:01:49 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkGetListEmployeeCompanyIdStatusOk"
"","1187","Статус 200. Несуществующий id","","Tue May 06 18:01:46 GMT 2025","passed","Tue May 06 18:01:47 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkNonexistentCompanyId"
"","1375","Валидация измененных полей","","Tue May 06 18:02:17 GMT 2025","passed","Tue May 06 18:02:18 GMT 2025","","tests.api.xclients.business.BusinessPathTest","tests.api.xclients.business.BusinessPathTest","checkChangeEmployee"
"Добавляем три товара в корзину и сравниваем их сумму + налог с итоговой суммой корзиныпод разными пользователями","6227","Проверка итоговой суммы корзины [2] Авторизоваться как performance_glitch_user","","Tue May 06 18:01:32 GMT 2025","passed","Tue May 06 18:01:38 GMT 2025","","tests.ui.saucedemo.ShoppingCartTest","tests.ui.saucedemo.ShoppingCartTest","compareTotalSumAndSumProductsWithTax"
"","471","Авторизация с не заблокированным пользователем","","Tue May 06 18:01:29 GMT 2025","passed","Tue May 06 18:01:30 GMT 2025","","tests.ui.saucedemo.AuthorizationTest","tests.ui.saucedemo.AuthorizationTest","correctAuthorization"
"","1129","Статус 500. Передача несуществующего id компании","","Tue May 06 18:02:05 GMT 2025","passed","Tue May 06 18:02:07 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","nonexistentCompanyId"
"","1099","Статус 200. Изменение данных сотрудника","","Tue May 06 18:02:00 GMT 2025","passed","Tue May 06 18:02:01 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkChangeEmployeeStatusOk"
"","1361","Проверяем формат JSON-файла","","Tue May 06 18:02:10 GMT 2025","passed","Tue May 06 18:02:11 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","checkFormatJson"
"","1530","Статус 400. Неверный e-mail","","Tue May 06 18:02:08 GMT 2025","passed","Tue May 06 18:02:09 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","nonexistentEmail"
"","915","Статус 201. Сотрудник добавлен","","Tue May 06 18:02:05 GMT 2025","passed","Tue May 06 18:02:05 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","addEmployeeStatusOk"
"","1070","Статус 401. Передача неверного токена","","Tue May 06 18:02:11 GMT 2025","passed","Tue May 06 18:02:13 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","nonexistentUserToken"
